#1	
float BMP_Qch4(571,5)
0	0	0	0	0
1	11.4	20.8	18.2	19.1
2	3.7	35.95	4.6	7.3
3	1.5	23.85	3.8	7.2
4	1.5	3.5	3.95	7.85
5	1.6	2.8	4.3	8.1
6	1.9	2.9	4.7	9.05
7	1.9	3.5	5.05	10.05
8	2	4.25	5.15	10.75
9	2.3	6.2	5.25	11.5
10	2.3	8.55	5.5	12.35
11	2.6	10.2	5.65	13.5
12	2.6	5.6	6	13.45
13	2.8	3.95	6.05	13.05
14	2.8	3.65	6.15	12.2
15	2.9	3.85	6.15	11.2
16	2.9	4.25	6.3	10.3
17	2.9	4.65	6.5	9.4
18	3.1	5.25	6.75	8.4
19	3.1	5.95	6.95	7.95
20	3.2	6.75	7	7.5
21	3.2	8.2	7.05	7.25
22	3.2	9.3	7.1	7.25
23	3.2	7.2	7.2	7.35
24	3.1	5.4	7.2	7.35
25	3.1	4.7	7.25	7.25
26	3	4.65	7.4	7.35
27	3	4.85	7.4	7.5
28	3	5.05	7.55	7.85
29	3	5.1	7.55	8.05
30	3	5.2	7.65	8.3
31	3	5.35	7.9	8.65
32	3	5.35	7.95	8.85
33	2.9	5.5	8	9.1
34	2.9	5.65	8.1	9.35
35	2.9	5.75	8.2	9.7
36	2.9	5.95	8.15	9.95
37	2.8	6.1	8.25	10.4
38	2.7	6.45	8.35	10.65
39	2.7	6.7	8.35	10.5
40	2.8	6.65	8.35	10.7
41	2.8	6.85	8.45	11.1
42	2.8	7.1	8.55	11.4
43	3.1	7.7	8.9	11.8
44	3.1	7.55	8.95	11.8
45	3.1	8	8.9	11.95
46	3	8.35	8.95	12
47	3	8.4	8.7	12.05
48	2.9	8.6	8.85	12.15
49	2.9	8.65	8.8	12.2
50	2.9	8.65	8.75	12.5
51	2.9	9.1	8.8	12.65
52	2.9	9.2	8.95	12.9
53	2.9	9.4	8.7	12.95
54	2.9	9.55	8.8	13.15
55	2.9	10	8.85	13.4
56	3	10.25	8.85	13.5
57	3	10.5	9	13.5
58	3	10.6	8.95	13.5
59	3	10.75	9.05	13.75
60	3	11.15	9.25	14.3
61	3.1	11.6	9.3	14.4
62	3.1	11.55	9.1	14.2
63	3.1	11.55	8.8	13.9
64	3.1	11.6	8.85	13.6
65	3.1	11.85	8.8	14.1
66	3.2	11.9	9.05	14.4
67	3.3	12.35	8.9	14.25
68	3.3	12.05	8.65	14.25
69	3.1	12.15	8.55	14.35
70	3.1	12.35	8.35	14.15
71	3.1	12.3	8.2	14.2
72	3	12.1	7.9	13.95
73	3	12.05	7.8	13.9
74	2.8	12.15	7.65	14
75	2.8	11.95	7.5	13.9
76	2.8	11.95	7.2	13.95
77	2.7	12.2	7.05	13.7
78	2.7	12.05	6.95	14.1
79	2.7	12.15	6.85	13.95
80	2.7	12.2	6.75	13.85
81	2.7	12.35	6.4	14.05
82	2.7	12.35	6.2	14.35
83	2.7	12.45	6.2	14.25
84	2.7	12.2	6.05	14.05
85	2.7	12.25	5.85	13.65
86	2.6	12.15	5.7	13.85
87	2.6	12.25	5.55	13.95
88	2.6	12.35	5.3	13.8
89	2.7	12.25	5.25	13.9
90	2.7	12.35	5.2	13.95
91	2.7	12.4	5.2	13.9
92	2.7	12.45	5.1	13.9
93	2.7	12.4	4.95	13.95
94	2.7	12.4	4.75	13.8
95	2.6	12.4	4.6	13.2
96	2.5	12.35	4.55	13.05
97	2.5	12.3	4.35	12.75
98	2.4	12.05	4.35	12.45
99	2.4	12.25	4.2	12.25
100	2.4	12.2	4.15	11.9
101	2.4	12.2	4.1	11.6
102	2.4	12.35	4.1	11.3
103	2.4	12.2	4	10.95
104	2.4	12.1	4	10.3
105	2.3	12.15	3.95	9.85
106	2.2	12.05	3.9	9.35
107	2.2	11.85	3.9	8.85
108	2.2	12.25	3.95	8.7
109	2.3	12.05	3.9	8.3
110	2.3	11.6	3.8	7.55
111	2.3	11.7	3.75	6.95
112	2.3	11.4	3.75	6.5
113	2.2	10.8	3.75	6.2
114	2.2	10.5	3.75	5.85
115	2.2	10.2	3.75	5.6
116	2.3	9.7	3.75	5.35
117	2.3	9.05	3.75	5.1
118	2.3	8.65	3.75	4.5
119	2.3	8.15	3.6	4.4
120	2.2	7.65	3.6	4.05
121	2.2	7.4	3.5	3.8
122	2.2	6.95	3.5	3.8
123	2.1	6.6	3.45	3.65
124	2.1	6.2	3.35	3.45
125	2.1	5.9	3.35	3.5
126	2.1	5.55	3.4	3.5
127	2.1	5.4	3.4	3.45
128	2	5.2	3.35	3.35
