"time","santonio_plus10maize.sAntonio.digester.COD_tot","santonio_plus10manure.sAntonio.digester.COD_tot","santonio_plus10tomato.sAntonio.digester.COD_tot","santonio_plus20manure.sAntonio.digester.COD_tot"
0,80.029872069418,80.029872069418,80.029872069418,80.029872069418
0,80.029872069418,80.029872069418,80.029872069418,80.029872069418
0,80.029872069418,80.029872069418,80.029872069418,80.029872069418
3600,80.02987177212816,80.02987177212816,80.02987177212816,80.02987177212816
7200,80.02987137968977,80.02987137968977,80.02987137968977,80.02987137968977
10800,80.02987099695527,80.02987099695527,80.02987099695527,80.02987099695527
14400,80.029870625529,80.029870625529,80.029870625529,80.029870625529
18000,80.02987028690511,80.02987028690511,80.02987028690511,80.02987028690511
21600,80.02986994828126,80.02986994828126,80.02986994828126,80.02986994828126
25200,80.02986961267874,80.02986961267874,80.02986961267874,80.02986961267874
28800,80.02986934026814,80.02986934026814,80.02986934026814,80.02986934026814
32400,80.02986906785755,80.02986906785755,80.02986906785755,80.02986906785755
36000,80.02986879544697,80.02986879544697,80.02986879544697,80.02986879544697
39600,80.02986852303637,80.02986852303637,80.02986852303637,80.02986852303637
43200,80.02986825062578,80.02986825062578,80.02986825062578,80.02986825062578
46800,80.02986797821519,80.02986797821519,80.02986797821519,80.02986797821519
50400,80.02986776895189,80.02986776895189,80.02986776895189,80.02986776895189
54000,80.02986757990084,80.02986757990084,80.02986757990084,80.02986757990084
57600,80.02986739084979,80.02986739084979,80.02986739084979,80.02986739084979
61200,80.02986720179877,80.02986720179877,80.02986720179877,80.02986720179877
64800,80.02986701274772,80.02986701274772,80.02986701274772,80.02986701274772
68400,80.02986682369668,80.02986682369668,80.02986682369668,80.02986682369668
72000,80.02986663464564,80.02986663464564,80.02986663464564,80.02986663464564
75600,80.02986644559458,80.02986644559458,80.02986644559458,80.02986644559458
79200,80.02986625654356,80.02986625654356,80.02986625654356,80.02986625654356
82800,80.02986606749252,80.02986606749252,80.02986606749252,80.02986606749252
86400,80.02986587844147,80.02986587844147,80.02986587844147,80.02986587844147
90000,80.02986568939042,80.02986568939042,80.02986568939042,80.02986568939042
93600,80.02986551029908,80.02986551029908,80.02986551029908,80.02986551029908
97200,80.02986537617484,80.02986537617484,80.02986537617484,80.02986537617484
100800,80.02986524205059,80.02986524205059,80.02986524205059,80.02986524205059
104400,80.02986510792635,80.02986510792635,80.02986510792635,80.02986510792635
108000,80.02986497380212,80.02986497380212,80.02986497380212,80.02986497380212
111600,80.02986483967788,80.02986483967788,80.02986483967788,80.02986483967788
115200,80.02986470555365,80.02986470555365,80.02986470555365,80.02986470555365
118800,80.02986457142941,80.02986457142941,80.02986457142941,80.02986457142941
122400,80.02986443730516,80.02986443730516,80.02986443730516,80.02986443730516
126000,80.02986430318094,80.02986430318094,80.02986430318094,80.02986430318094
129600,80.02986416905669,80.02986416905669,80.02986416905669,80.02986416905669
133200,80.02986403493246,80.02986403493246,80.02986403493246,80.02986403493246
136800,80.02986390080822,80.02986390080822,80.02986390080822,80.02986390080822
140400,80.02986380276658,80.02986380276658,80.02986380276658,80.02986380276658
144000,80.0298637282708,80.0298637282708,80.0298637282708,80.0298637282708
147600,80.029863653775,80.029863653775,80.029863653775,80.029863653775
151200,80.02986357927919,80.02986357927919,80.02986357927919,80.02986357927919
154800,80.02986350478342,80.02986350478342,80.02986350478342,80.02986350478342
158400,80.02986343028761,80.02986343028761,80.02986343028761,80.02986343028761
162000,80.0298633557918,80.0298633557918,80.0298633557918,80.0298633557918
165600,80.02986328129603,80.02986328129603,80.02986328129603,80.02986328129603
169200,80.02986320680024,80.02986320680024,80.02986320680024,80.02986320680024
172800,80.02986313230444,80.02986313230444,80.02986313230444,80.02986313230444
176400,80.02986305780863,80.02986305780863,80.02986305780863,80.02986305780863
180000,80.02986298331284,80.02986298331284,80.02986298331284,80.02986298331284
183600,80.02986290881704,80.02986290881704,80.02986290881704,80.02986290881704
187200,80.02986283432125,80.02986283432125,80.02986283432125,80.02986283432125
190800,80.02986275982548,80.02986275982548,80.02986275982548,80.02986275982548
194400,80.02986268532968,80.02986268532968,80.02986268532968,80.02986268532968
198000,80.02986261083387,80.02986261083387,80.02986261083387,80.02986261083387
201600,80.02986253633807,80.02986253633807,80.02986253633807,80.02986253633807
205200,80.02986246184228,80.02986246184228,80.02986246184228,80.02986246184228
208800,80.02986238734648,80.02986238734648,80.02986238734648,80.02986238734648
212400,80.02986231285068,80.02986231285068,80.02986231285068,80.02986231285068
216000,80.02986223835489,80.02986223835489,80.02986223835489,80.02986223835489
219600,80.02986216385909,80.02986216385909,80.02986216385909,80.02986216385909
223200,80.02986208936331,80.02986208936331,80.02986208936331,80.02986208936331
226800,80.02986201486752,80.02986201486752,80.02986201486752,80.02986201486752
230400,80.02986195588717,80.02986195588717,80.02986195588717,80.02986195588717
234000,80.02986191566306,80.02986191566306,80.02986191566306,80.02986191566306
237600,80.02986187543893,80.02986187543893,80.02986187543893,80.02986187543893
241200,80.0298618352148,80.0298618352148,80.0298618352148,80.0298618352148
244800,80.02986179499069,80.02986179499069,80.02986179499069,80.02986179499069
248400,80.02986175476657,80.02986175476657,80.02986175476657,80.02986175476657
252000,80.02986171454246,80.02986171454246,80.02986171454246,80.02986171454246
255600,80.02986167431833,80.02986167431833,80.02986167431833,80.02986167431833
259200,80.0298616340942,80.0298616340942,80.0298616340942,80.0298616340942
262800,80.02986159387009,80.02986159387009,80.02986159387009,80.02986159387009
266400,80.02986155364597,80.02986155364597,80.02986155364597,80.02986155364597
270000,80.02986151342185,80.02986151342185,80.02986151342185,80.02986151342185
273600,80.02986147319774,80.02986147319774,80.02986147319774,80.02986147319774
277200,80.0298614329736,80.0298614329736,80.0298614329736,80.0298614329736
280800,80.0298613927495,80.0298613927495,80.0298613927495,80.0298613927495
284400,80.02986135252537,80.02986135252537,80.02986135252537,80.02986135252537
288000,80.02986131230126,80.02986131230126,80.02986131230126,80.02986131230126
291600,80.02986127207711,80.02986127207711,80.02986127207711,80.02986127207711
295200,80.029861231853,80.029861231853,80.029861231853,80.029861231853
298800,80.02986119162888,80.02986119162888,80.02986119162888,80.02986119162888
302400,80.02986115140479,80.02986115140479,80.02986115140479,80.02986115140479
306000,80.02986111118067,80.02986111118067,80.02986111118067,80.02986111118067
309600,80.02986107095654,80.02986107095654,80.02986107095654,80.02986107095654
313200,80.02986103073241,80.02986103073241,80.02986103073241,80.02986103073241
316800,80.02986099050828,80.02986099050828,80.02986099050828,80.02986099050828
320400,80.02986095874377,80.02986095874377,80.02986095874377,80.02986095874377
324000,80.0298609466888,80.0298609466888,80.0298609466888,80.0298609466888
327600,80.02986093463383,80.02986093463383,80.02986093463383,80.02986093463383
331200,80.02986092257885,80.02986092257885,80.02986092257885,80.02986092257885
334800,80.02986091052389,80.02986091052389,80.02986091052389,80.02986091052389
338400,80.02986089846893,80.02986089846893,80.02986089846893,80.02986089846893
342000,80.02986088641396,80.02986088641396,80.02986088641396,80.02986088641396
345600,80.029860874359,80.029860874359,80.029860874359,80.029860874359
349200,80.02986086230403,80.02986086230403,80.02986086230403,80.02986086230403
352800,80.02986085024907,80.02986085024907,80.02986085024907,80.02986085024907
356400,80.0298608381941,80.0298608381941,80.0298608381941,80.0298608381941
360000,80.02986082613913,80.02986082613913,80.02986082613913,80.02986082613913
363600,80.02986081408417,80.02986081408417,80.02986081408417,80.02986081408417
367200,80.02986080202921,80.02986080202921,80.02986080202921,80.02986080202921
370800,80.02986078997424,80.02986078997424,80.02986078997424,80.02986078997424
374400,80.02986077791925,80.02986077791925,80.02986077791925,80.02986077791925
378000,80.0298607658643,80.0298607658643,80.0298607658643,80.0298607658643
381600,80.02986075380933,80.02986075380933,80.02986075380933,80.02986075380933
385200,80.02986074175436,80.02986074175436,80.02986074175436,80.02986074175436
388800,80.02986072969941,80.02986072969941,80.02986072969941,80.02986072969941
392400,80.02986071764444,80.02986071764444,80.02986071764444,80.02986071764444
396000,80.02986070558946,80.02986070558946,80.02986070558946,80.02986070558946
399600,80.0298606935345,80.0298606935345,80.0298606935345,80.0298606935345
403200,80.02986068147952,80.02986068147952,80.02986068147952,80.02986068147952
406800,80.02986066942455,80.02986066942455,80.02986066942455,80.02986066942455
410400,80.02986065736958,80.02986065736958,80.02986065736958,80.02986065736958
414000,80.02986064531463,80.02986064531463,80.02986064531463,80.02986064531463
417600,80.02986063325967,80.02986063325967,80.02986063325967,80.02986063325967
421200,80.0298606212047,80.0298606212047,80.0298606212047,80.0298606212047
424800,80.02986060914972,80.02986060914972,80.02986060914972,80.02986060914972
428400,80.02986059709475,80.02986059709475,80.02986059709475,80.02986059709475
432000,80.02986058503978,80.02986058503978,80.02986058503978,80.02986058503978
435600,80.02986057298482,80.02986057298482,80.02986057298482,80.02986057298482
439200,80.02986056092985,80.02986056092985,80.02986056092985,80.02986056092985
442800,80.02986054887491,80.02986054887491,80.02986054887491,80.02986054887491
446400,80.02986053681992,80.02986053681992,80.02986053681992,80.02986053681992
450000,80.02986052476496,80.02986052476496,80.02986052476496,80.02986052476496
453600,80.02986051271,80.02986051271,80.02986051271,80.02986051271
457200,80.02986050065502,80.02986050065502,80.02986050065502,80.02986050065502
460800,80.02986048860005,80.02986048860005,80.02986048860005,80.02986048860005
464400,80.02986047654511,80.02986047654511,80.02986047654511,80.02986047654511
468000,80.02986046449013,80.02986046449013,80.02986046449013,80.02986046449013
471600,80.02986045243514,80.02986045243514,80.02986045243514,80.02986045243514
475200,80.02986044038019,80.02986044038019,80.02986044038019,80.02986044038019
478800,80.02986042832522,80.02986042832522,80.02986042832522,80.02986042832522
482400,80.02986041627025,80.02986041627025,80.02986041627025,80.02986041627025
486000,80.02986040421528,80.02986040421528,80.02986040421528,80.02986040421528
489600,80.0298603921603,80.0298603921603,80.0298603921603,80.0298603921603
493200,80.02986038010535,80.02986038010535,80.02986038010535,80.02986038010535
496800,80.02986036805039,80.02986036805039,80.02986036805039,80.02986036805039
500000,80.02986035733485,80.02986035733485,80.02986035733485,80.02986035733485
500000,80.02986035733485,80.02986035733485,80.02986035733485,80.02986035733485
500400,80.02986035599288,80.02986035599288,80.02986035599288,80.02986035599288
504000,80.02986034437289,80.02986034437289,80.02986034437289,80.02986034437289
507600,80.02986033351019,80.02986033351019,80.02986033351019,80.02986033351019
511200,80.02986032330261,80.02986032330261,80.02986032330261,80.02986032330261
514800,80.02986031388234,80.02986031388234,80.02986031388234,80.02986031388234
518400,80.02986030534865,80.02986030534865,80.02986030534865,80.02986030534865
522000,80.02986029681493,80.02986029681493,80.02986029681493,80.02986029681493
525600,80.02986028828126,80.02986028828126,80.02986028828126,80.02986028828126
529200,80.02986028204157,80.02986028204157,80.02986028204157,80.02986028204157
532800,80.02986027627357,80.02986027627357,80.02986027627357,80.02986027627357
536400,80.02986027050557,80.02986027050557,80.02986027050557,80.02986027050557
540000,80.02986026473758,80.02986026473758,80.02986026473758,80.02986026473758
543600,80.02986025896958,80.02986025896958,80.02986025896958,80.02986025896958
547200,80.02986025320159,80.02986025320159,80.02986025320159,80.02986025320159
550800,80.0298602474336,80.0298602474336,80.0298602474336,80.0298602474336
554400,80.02986024376492,80.02986024376492,80.02986024376492,80.02986024376492
558000,80.02986024183012,80.02986024183012,80.02986024183012,80.02986024183012
561600,80.02986023989533,80.02986023989533,80.02986023989533,80.02986023989533
565200,80.02986023796053,80.02986023796053,80.02986023796053,80.02986023796053
568800,80.02986023602574,80.02986023602574,80.02986023602574,80.02986023602574
572400,80.02986023409095,80.02986023409095,80.02986023409095,80.02986023409095
576000,80.02986023215614,80.02986023215614,80.02986023215614,80.02986023215614
579600,80.02986023022133,80.02986023022133,80.02986023022133,80.02986023022133
583200,80.02986022828654,80.02986022828654,80.02986022828654,80.02986022828654
586800,80.02986022635176,80.02986022635176,80.02986022635176,80.02986022635176
590400,80.02986022441696,80.02986022441696,80.02986022441696,80.02986022441696
594000,80.02986022248217,80.02986022248217,80.02986022248217,80.02986022248217
597600,80.02986022054736,80.02986022054736,80.02986022054736,80.02986022054736
