"time","santonio_plus10maize.Qch4.y","santonio_plus10manure.Qch4.y","santonio_plus10tomato.Qch4.y","santonio_plus20maize.Qch4.y","santonio_plus20manure.Qch4.y","santonio_plus20tomato.Qch4.y","santonio_plus30maize.Qch4.y","santonio_plus30manure.Qch4.y","santonio_plus30tomato.Qch4.y"
0,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072
0,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072
0,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072
3600,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525
7200,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066
10800,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178
14400,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265
18000,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407
21600,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841
25200,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356
28800,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323
32400,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239
36000,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145
39600,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405
43200,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805
46800,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014
50400,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836
54000,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138
57600,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581
