"time","santonio_plus10maize.sAntonio.digester.TVFA","santonio_plus10manure.sAntonio.digester.TVFA","santonio_plus10tomato.sAntonio.digester.TVFA","santonio_plus20maize.sAntonio.digester.TVFA","santonio_plus20manure.sAntonio.digester.TVFA","santonio_plus20tomato.sAntonio.digester.TVFA","santonio_plus30maize.sAntonio.digester.TVFA","santonio_plus30manure.sAntonio.digester.TVFA","santonio_plus30tomato.sAntonio.digester.TVFA"
0,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079
0,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079
0,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079
0.04166666666666666,560.9219167090895,560.9219167090895,560.9219167090895,560.9219167090895,560.9219167090895,560.9219167090895,560.9219167090895,560.9219167090895,560.9219167090895
0.08333333333333333,560.9215843102139,560.9215843102139,560.9215843102139,560.9215843102139,560.9215843102139,560.9215843102139,560.9215843102139,560.9215843102139,560.9215843102139
0.125,560.9212634394569,560.9212634394569,560.9212634394569,560.9212634394569,560.9212634394569,560.9212634394569,560.9212634394569,560.9212634394569,560.9212634394569
0.1666666666666667,560.9209502671556,560.9209502671556,560.9209502671556,560.9209502671556,560.9209502671556,560.9209502671556,560.9209502671556,560.9209502671556,560.9209502671556
0.2083333333333333,560.9206581692631,560.9206581692631,560.9206581692631,560.9206581692631,560.9206581692631,560.9206581692631,560.9206581692631,560.9206581692631,560.9206581692631
0.25,560.9203660713707,560.9203660713707,560.9203660713707,560.9203660713707,560.9203660713707,560.9203660713707,560.9203660713707,560.9203660713707,560.9203660713707
0.2916666666666667,560.9200760792032,560.9200760792032,560.9200760792032,560.9200760792032,560.9200760792032,560.9200760792032,560.9200760792032,560.9200760792032,560.9200760792032
0.3333333333333333,560.9198301288919,560.9198301288919,560.9198301288919,560.9198301288919,560.9198301288919,560.9198301288919,560.9198301288919,560.9198301288919,560.9198301288919
0.375,560.9195841785805,560.9195841785805,560.9195841785805,560.9195841785805,560.9195841785805,560.9195841785805,560.9195841785805,560.9195841785805,560.9195841785805
0.4166666666666667,560.9193382282689,560.9193382282689,560.9193382282689,560.9193382282689,560.9193382282689,560.9193382282689,560.9193382282689,560.9193382282689,560.9193382282689
0.4583333333333333,560.9190922779576,560.9190922779576,560.9190922779576,560.9190922779576,560.9190922779576,560.9190922779576,560.9190922779576,560.9190922779576,560.9190922779576
0.5,560.9188463276462,560.9188463276462,560.9188463276462,560.9188463276462,560.9188463276462,560.9188463276462,560.9188463276462,560.9188463276462,560.9188463276462
0.5416666666666666,560.9186003773349,560.9186003773349,560.9186003773349,560.9186003773349,560.9186003773349,560.9186003773349,560.9186003773349,560.9186003773349,560.9186003773349
0.5833333333333334,560.9184038501212,560.9184038501212,560.9184038501212,560.9184038501212,560.9184038501212,560.9184038501212,560.9184038501212,560.9184038501212,560.9184038501212
0.625,560.9182231423247,560.9182231423247,560.9182231423247,560.9182231423247,560.9182231423247,560.9182231423247,560.9182231423247,560.9182231423247,560.9182231423247
0.6666666666666666,560.9180424345282,560.9180424345282,560.9180424345282,560.9180424345282,560.9180424345282,560.9180424345282,560.9180424345282,560.9180424345282,560.9180424345282
0.7083333333333334,560.9178617267316,560.9178617267316,560.9178617267316,560.9178617267316,560.9178617267316,560.9178617267316,560.9178617267316,560.9178617267316,560.9178617267316
0.75,560.917681018935,560.917681018935,560.917681018935,560.917681018935,560.917681018935,560.917681018935,560.917681018935,560.917681018935,560.917681018935
0.7916666666666666,560.9175003111386,560.9175003111386,560.9175003111386,560.9175003111386,560.9175003111386,560.9175003111386,560.9175003111386,560.9175003111386,560.9175003111386
0.8333333333333334,560.9173196033421,560.9173196033421,560.9173196033421,560.9173196033421,560.9173196033421,560.9173196033421,560.9173196033421,560.9173196033421,560.9173196033421
0.875,560.9171388955455,560.9171388955455,560.9171388955455,560.9171388955455,560.9171388955455,560.9171388955455,560.9171388955455,560.9171388955455,560.9171388955455
0.9166666666666666,560.9169581877489,560.9169581877489,560.9169581877489,560.9169581877489,560.9169581877489,560.9169581877489,560.9169581877489,560.9169581877489,560.9169581877489
0.9583333333333334,560.9167774799525,560.9167774799525,560.9167774799525,560.9167774799525,560.9167774799525,560.9167774799525,560.9167774799525,560.9167774799525,560.9167774799525
1,560.916596772156,560.916596772156,560.916596772156,560.916596772156,560.916596772156,560.916596772156,560.916596772156,560.916596772156,560.916596772156
1.041666666666667,560.9164160643593,560.9164160643593,560.9164160643593,560.9164160643593,560.9164160643593,560.9164160643593,560.9164160643593,560.9164160643593,560.9164160643593
1.083333333333333,560.9162439018693,560.9162439018693,560.9162439018693,560.9162439018693,560.9162439018693,560.9162439018693,560.9162439018693,560.9162439018693,560.9162439018693
1.125,560.9161103206824,560.9161103206824,560.9161103206824,560.9161103206824,560.9161103206824,560.9161103206824,560.9161103206824,560.9161103206824,560.9161103206824
1.166666666666667,560.9159767394956,560.9159767394956,560.9159767394956,560.9159767394956,560.9159767394956,560.9159767394956,560.9159767394956,560.9159767394956,560.9159767394956
1.208333333333333,560.9158431583087,560.9158431583087,560.9158431583087,560.9158431583087,560.9158431583087,560.9158431583087,560.9158431583087,560.9158431583087,560.9158431583087
1.25,560.9157095771221,560.9157095771221,560.9157095771221,560.9157095771221,560.9157095771221,560.9157095771221,560.9157095771221,560.9157095771221,560.9157095771221
1.291666666666667,560.9155759959353,560.9155759959353,560.9155759959353,560.9155759959353,560.9155759959353,560.9155759959353,560.9155759959353,560.9155759959353,560.9155759959353
1.333333333333333,560.9154424147486,560.9154424147486,560.9154424147486,560.9154424147486,560.9154424147486,560.9154424147486,560.9154424147486,560.9154424147486,560.9154424147486
1.375,560.9153088335618,560.9153088335618,560.9153088335618,560.9153088335618,560.9153088335618,560.9153088335618,560.9153088335618,560.9153088335618,560.9153088335618
1.416666666666667,560.915175252375,560.915175252375,560.915175252375,560.915175252375,560.915175252375,560.915175252375,560.915175252375,560.915175252375,560.915175252375
1.458333333333333,560.9150416711882,560.9150416711882,560.9150416711882,560.9150416711882,560.9150416711882,560.9150416711882,560.9150416711882,560.9150416711882,560.9150416711882
1.5,560.9149080900014,560.9149080900014,560.9149080900014,560.9149080900014,560.9149080900014,560.9149080900014,560.9149080900014,560.9149080900014,560.9149080900014
1.541666666666667,560.9147745088147,560.9147745088147,560.9147745088147,560.9147745088147,560.9147745088147,560.9147745088147,560.9147745088147,560.9147745088147,560.9147745088147
1.583333333333333,560.9146409276279,560.9146409276279,560.9146409276279,560.9146409276279,560.9146409276279,560.9146409276279,560.9146409276279,560.9146409276279,560.9146409276279
1.625,560.9145421301492,560.9145421301492,560.9145421301492,560.9145421301492,560.9145421301492,560.9145421301492,560.9145421301492,560.9145421301492,560.9145421301492
1.666666666666667,560.9144660309023,560.9144660309023,560.9144660309023,560.9144660309023,560.9144660309023,560.9144660309023,560.9144660309023,560.9144660309023,560.9144660309023
1.708333333333333,560.9143899316555,560.9143899316555,560.9143899316555,560.9143899316555,560.9143899316555,560.9143899316555,560.9143899316555,560.9143899316555,560.9143899316555
1.75,560.9143138324084,560.9143138324084,560.9143138324084,560.9143138324084,560.9143138324084,560.9143138324084,560.9143138324084,560.9143138324084,560.9143138324084
1.791666666666667,560.9142377331614,560.9142377331614,560.9142377331614,560.9142377331614,560.9142377331614,560.9142377331614,560.9142377331614,560.9142377331614,560.9142377331614
1.833333333333333,560.9141616339144,560.9141616339144,560.9141616339144,560.9141616339144,560.9141616339144,560.9141616339144,560.9141616339144,560.9141616339144,560.9141616339144
1.875,560.9140855346676,560.9140855346676,560.9140855346676,560.9140855346676,560.9140855346676,560.9140855346676,560.9140855346676,560.9140855346676,560.9140855346676
1.916666666666667,560.9140094354207,560.9140094354207,560.9140094354207,560.9140094354207,560.9140094354207,560.9140094354207,560.9140094354207,560.9140094354207,560.9140094354207
1.958333333333333,560.9139333361737,560.9139333361737,560.9139333361737,560.9139333361737,560.9139333361737,560.9139333361737,560.9139333361737,560.9139333361737,560.9139333361737
2,560.9138572369269,560.9138572369269,560.9138572369269,560.9138572369269,560.9138572369269,560.9138572369269,560.9138572369269,560.9138572369269,560.9138572369269
2.041666666666667,560.9137811376797,560.9137811376797,560.9137811376797,560.9137811376797,560.9137811376797,560.9137811376797,560.9137811376797,560.9137811376797,560.9137811376797
2.083333333333333,560.913705038433,560.913705038433,560.913705038433,560.913705038433,560.913705038433,560.913705038433,560.913705038433,560.913705038433,560.913705038433
2.125,560.913628939186,560.913628939186,560.913628939186,560.913628939186,560.913628939186,560.913628939186,560.913628939186,560.913628939186,560.913628939186
2.166666666666667,560.9135528399391,560.9135528399391,560.9135528399391,560.9135528399391,560.9135528399391,560.9135528399391,560.9135528399391,560.9135528399391,560.9135528399391
2.208333333333333,560.9134767406921,560.9134767406921,560.9134767406921,560.9134767406921,560.9134767406921,560.9134767406921,560.9134767406921,560.9134767406921,560.9134767406921
2.25,560.913400641445,560.913400641445,560.913400641445,560.913400641445,560.913400641445,560.913400641445,560.913400641445,560.913400641445,560.913400641445
2.291666666666667,560.9133245421982,560.9133245421982,560.9133245421982,560.9133245421982,560.9133245421982,560.9133245421982,560.9133245421982,560.9133245421982,560.9133245421982
2.333333333333333,560.9132484429513,560.9132484429513,560.9132484429513,560.9132484429513,560.9132484429513,560.9132484429513,560.9132484429513,560.9132484429513,560.9132484429513
2.375,560.9131723437043,560.9131723437043,560.9131723437043,560.9131723437043,560.9131723437043,560.9131723437043,560.9131723437043,560.9131723437043,560.9131723437043
2.416666666666667,560.9130962444574,560.9130962444574,560.9130962444574,560.9130962444574,560.9130962444574,560.9130962444574,560.9130962444574,560.9130962444574,560.9130962444574
2.458333333333333,560.9130201452105,560.9130201452105,560.9130201452105,560.9130201452105,560.9130201452105,560.9130201452105,560.9130201452105,560.9130201452105,560.9130201452105
2.5,560.9129440459636,560.9129440459636,560.9129440459636,560.9129440459636,560.9129440459636,560.9129440459636,560.9129440459636,560.9129440459636,560.9129440459636
2.541666666666667,560.9128679467166,560.9128679467166,560.9128679467166,560.9128679467166,560.9128679467166,560.9128679467166,560.9128679467166,560.9128679467166,560.9128679467166
2.583333333333333,560.9127918474699,560.9127918474699,560.9127918474699,560.9127918474699,560.9127918474699,560.9127918474699,560.9127918474699,560.9127918474699,560.9127918474699
2.625,560.9127157482226,560.9127157482226,560.9127157482226,560.9127157482226,560.9127157482226,560.9127157482226,560.9127157482226,560.9127157482226,560.9127157482226
