"time","santonio_plus10maize.Qch4.y","santonio_plus10manure.Qch4.y","santonio_plus10tomato.Qch4.y","santonio_plus20maize.Qch4.y","santonio_plus20manure.Qch4.y","santonio_plus20tomato.Qch4.y","santonio_plus30maize.Qch4.y","santonio_plus30manure.Qch4.y","santonio_plus30tomato.Qch4.y"
0,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072
0,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072
0,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072,-0.0136588620935072
0.04166666666666666,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525,0.009583664500496525
0.08333333333333333,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066,0.01929412681693066
0.125,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178,0.02272606774204178
0.1666666666666667,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265,0.02462519833625265
0.2083333333333333,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407,0.02467662508479407
0.25,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841,0.02472805184606841
0.2916666666666667,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356,0.02475680919542356
0.3333333333333333,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323,0.02431142966179323
0.375,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239,0.02386605012907239
0.4166666666666667,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145,0.02342067061454145
0.4583333333333333,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405,0.02297529109364405
0.5,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805,0.02252991158820805
0.5416666666666666,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014,0.02208453206822014
0.5833333333333334,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836,0.02172253869866836
0.625,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138,0.02138723569078138
0.6666666666666666,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581,0.02105193269835581
