"time","santonio_plus10maize.sAntonio.digester.TVFA","santonio_plus10manure.sAntonio.digester.TVFA","santonio_plus10tomato.sAntonio.digester.TVFA","santonio_plus20manure.sAntonio.digester.TVFA"
0,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079
0,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079
0,560.9222717987079,560.9222717987079,560.9222717987079,560.9222717987079
0.04166666666666666,560.9219167090895,560.9219167090895,560.9219167090895,560.9219167090895
0.08333333333333333,560.9215843102139,560.9215843102139,560.9215843102139,560.9215843102139
0.125,560.9212634394569,560.9212634394569,560.9212634394569,560.9212634394569
0.1666666666666667,560.9209502671556,560.9209502671556,560.9209502671556,560.9209502671556
0.2083333333333333,560.9206581692631,560.9206581692631,560.9206581692631,560.9206581692631
0.25,560.9203660713707,560.9203660713707,560.9203660713707,560.9203660713707
0.2916666666666667,560.9200760792032,560.9200760792032,560.9200760792032,560.9200760792032
0.3333333333333333,560.9198301288919,560.9198301288919,560.9198301288919,560.9198301288919
0.375,560.9195841785805,560.9195841785805,560.9195841785805,560.9195841785805
0.4166666666666667,560.9193382282689,560.9193382282689,560.9193382282689,560.9193382282689
0.4583333333333333,560.9190922779576,560.9190922779576,560.9190922779576,560.9190922779576
0.5,560.9188463276462,560.9188463276462,560.9188463276462,560.9188463276462
0.5416666666666666,560.9186003773349,560.9186003773349,560.9186003773349,560.9186003773349
0.5833333333333334,560.9184038501212,560.9184038501212,560.9184038501212,560.9184038501212
0.625,560.9182231423247,560.9182231423247,560.9182231423247,560.9182231423247
0.6666666666666666,560.9180424345282,560.9180424345282,560.9180424345282,560.9180424345282
0.7083333333333334,560.9178617267316,560.9178617267316,560.9178617267316,560.9178617267316
0.75,560.917681018935,560.917681018935,560.917681018935,560.917681018935
0.7916666666666666,560.9175003111386,560.9175003111386,560.9175003111386,560.9175003111386
0.8333333333333334,560.9173196033421,560.9173196033421,560.9173196033421,560.9173196033421
