"time","santonio_plus10maize.sAntonio.digester.COD_tot","santonio_plus10manure.sAntonio.digester.COD_tot","santonio_plus10tomato.sAntonio.digester.COD_tot","santonio_plus20maize.sAntonio.digester.COD_tot","santonio_plus20manure.sAntonio.digester.COD_tot","santonio_plus20tomato.sAntonio.digester.COD_tot","santonio_plus30maize.sAntonio.digester.COD_tot","santonio_plus30manure.sAntonio.digester.COD_tot","santonio_plus30tomato.sAntonio.digester.COD_tot"
0,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418
0,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418
0,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418,80.029872069418
0.04166666666666666,80.02987177212816,80.02987177212816,80.02987177212816,80.02987177212816,80.02987177212816,80.02987177212816,80.02987177212816,80.02987177212816,80.02987177212816
0.08333333333333333,80.02987137968977,80.02987137968977,80.02987137968977,80.02987137968977,80.02987137968977,80.02987137968977,80.02987137968977,80.02987137968977,80.02987137968977
0.125,80.02987099695527,80.02987099695527,80.02987099695527,80.02987099695527,80.02987099695527,80.02987099695527,80.02987099695527,80.02987099695527,80.02987099695527
0.1666666666666667,80.029870625529,80.029870625529,80.029870625529,80.029870625529,80.029870625529,80.029870625529,80.029870625529,80.029870625529,80.029870625529
0.2083333333333333,80.02987028690511,80.02987028690511,80.02987028690511,80.02987028690511,80.02987028690511,80.02987028690511,80.02987028690511,80.02987028690511,80.02987028690511
0.25,80.02986994828126,80.02986994828126,80.02986994828126,80.02986994828126,80.02986994828126,80.02986994828126,80.02986994828126,80.02986994828126,80.02986994828126
0.2916666666666667,80.02986961267874,80.02986961267874,80.02986961267874,80.02986961267874,80.02986961267874,80.02986961267874,80.02986961267874,80.02986961267874,80.02986961267874
0.3333333333333333,80.02986934026814,80.02986934026814,80.02986934026814,80.02986934026814,80.02986934026814,80.02986934026814,80.02986934026814,80.02986934026814,80.02986934026814
0.375,80.02986906785755,80.02986906785755,80.02986906785755,80.02986906785755,80.02986906785755,80.02986906785755,80.02986906785755,80.02986906785755,80.02986906785755
0.4166666666666667,80.02986879544697,80.02986879544697,80.02986879544697,80.02986879544697,80.02986879544697,80.02986879544697,80.02986879544697,80.02986879544697,80.02986879544697
0.4583333333333333,80.02986852303637,80.02986852303637,80.02986852303637,80.02986852303637,80.02986852303637,80.02986852303637,80.02986852303637,80.02986852303637,80.02986852303637
0.5,80.02986825062578,80.02986825062578,80.02986825062578,80.02986825062578,80.02986825062578,80.02986825062578,80.02986825062578,80.02986825062578,80.02986825062578
0.5416666666666666,80.02986797821519,80.02986797821519,80.02986797821519,80.02986797821519,80.02986797821519,80.02986797821519,80.02986797821519,80.02986797821519,80.02986797821519
0.5833333333333334,80.02986776895189,80.02986776895189,80.02986776895189,80.02986776895189,80.02986776895189,80.02986776895189,80.02986776895189,80.02986776895189,80.02986776895189
0.625,80.02986757990084,80.02986757990084,80.02986757990084,80.02986757990084,80.02986757990084,80.02986757990084,80.02986757990084,80.02986757990084,80.02986757990084
0.6666666666666666,80.02986739084979,80.02986739084979,80.02986739084979,80.02986739084979,80.02986739084979,80.02986739084979,80.02986739084979,80.02986739084979,80.02986739084979
0.7083333333333334,80.02986720179877,80.02986720179877,80.02986720179877,80.02986720179877,80.02986720179877,80.02986720179877,80.02986720179877,80.02986720179877,80.02986720179877
0.75,80.02986701274772,80.02986701274772,80.02986701274772,80.02986701274772,80.02986701274772,80.02986701274772,80.02986701274772,80.02986701274772,80.02986701274772
0.7916666666666666,80.02986682369668,80.02986682369668,80.02986682369668,80.02986682369668,80.02986682369668,80.02986682369668,80.02986682369668,80.02986682369668,80.02986682369668
