#1
float Input_complete(13,22)
0	30.8381	75.7423447	5.49	2739	58.5	100	0	0	1401	362	179.6	47.2	283.69	97.7081	1.5049	4529	1423	127.6	0	0	0
14	28.8223	74.3091287	5.27	2123	49.4	100	0	0	934	266	104.3	23.78	283.69	99.1488	1.2155	4654	1423	176.1	0	0	0
21	29.7972	74.08145732	5.4	2231	68	100	0	0	1042	314	130.4	38.7	296.66	95.3392	1.2736	4097	1519	167.3	0	0	0
33	28.6193	74.95291639	5.61	2127	44.8	100	0	0	826	200	83.7	11.8	296.66	93.7386	1.0436	3802	1384	173.3	0	0	0
40	38.5937	72.52634497	5.53	2870	47	100	0	0	874	209	81.3	12.5	290	99.8128	1.2051	4950	1712	198.2	0	0	0
47	32.5957	72.10460275	5.85	2907	85	100	0	0	588	176	70.2	30.5	290	89.9393	0.9409	3812	1542	185.9	0	0	0
59	28.1499	72.30718404	5.56	2598	67.2	100	0	0	737	176	73.5	28.49	290	87.5184	0.8455	4386	1373	191.6	0	0	0
66	39.2856	66.44928422	5.75	3029	50	100	0	0	723	193	103.5	29.5	255.93	99.5441	1.0919	4961	1449	198.6	0	0	0
77	27.0799	68.80010635	5.65	2452	86.8	100	0	0	518	167	69.4	32.44	255.93	79.9568	0.8659	3008	925	140	0	0	0
85	30.6428	69.4417612	5.54	2627	95.2	100	0	0	500	217	77.2	36.1	265.09	88.7209	0.907	3689	1309	174	0	0	0
93	28.4154	69.31769393	5.58	2802	100	100	0	0	569	227	91.4	47.9	265.09	80.4115	0.8377	3059	1232	189.4	0	0	0
98	25.9389	69.49485136	5.93	2978	98.8	100	0	0	436	231	88.7	66.8	226.6	78.4541	0.6662	3059	1125	188.5	0	0	0
100	25.9389	69.49485136	5.93	2978	98.8	100	0	0	436	231	88.7	66.8	226.6	78.4541	0.6662	3059	1125	188.5	0	0	0


