#1
float Input_P_PLC(100,2)
0	104825
1	104825
2	104825
3	104825
4	104825
5	104825
6	104825
7	104825
8	104825
9	104825
10	104832.4426
11	104815.9406
12	104816.4583
13	104824.9653
14	104779.9809
15	104769.3056
16	104755.8573
17	104777.3958
18	104750.1736
19	104750.8591
20	104717.1181
21	104698.5161
22	104712.5347
23	104662.5217
24	104641.0764
25	104706.2847
26	104706.2847
27	104899.6616
28	104474.5833
29	106620.5571
30	104478.2107
31	104586.1458
32	104916.1806
33	104917.6762
34	104914.375
35	104915.2117
36	104909.2708
37	104904.3056
38	104917.572
39	104907.8125
40	104916.3225
41	104912.1875
42	104891.9212
43	104907.8125
44	104886.1458
45	104873.3166
46	104812.3611
47	103828.8875
48	102476.1111
49	102493.5526
50	103655.1042
51	102884.8611
52	102719.2728
53	102380.0921
54	102690.5903
55	102678.1413
56	102492.9861
57	102803.5144
58	103683.2986
59	104937.0791
60	104910.6944
61	104928.4016
62	104921.0417
63	104909.6581
64	104882.4306
65	104863.4028
66	104854.9202
67	104880.6944
68	104884.0767
69	104879.1667
70	104892.2336
71	104920.9028
72	104909.0625
73	104912.1572
74	104919.0972
75	104889.2138
76	104868.9583
77	104825.3818
78	104798.9931
79	104845.236
80	104844.2014
81	104859.7917
82	104875.538
83	104871.6667
84	104856.8292
85	104873.4028
86	104863.563
87	104854.5486
88	104888.7626
89	104917.4653
90	104963.0771
91	104968.3333
92	105009.9358
93	105031.1111
94	105051.4583
95	105085.1527
96	105437.0486
97	104368.4224
98	104894.6597
2000	104894.6597



