#1	
float Input_Q_Feed1_ADM1(1117,2)	
2120	0.325
2120.033333	1E-16
2124	0.325
2124.033333	1E-16
2128	0.325
2128.033333	1E-16
2132	0.325
2132.033333	1E-16
2136	0.325
2136.033333	1E-16
2140	0.325
2140.033333	1E-16
2144	0.325
2144.033333	1E-16
2148	0.325
2148.033333	1E-16
2152	0.325
2152.033333	1E-16
2156	0.325
2156.033333	1E-16
2160	0.325
2160.033333	1E-16
2164	0.325
2164.033333	1E-16
2168	0.325
2168.033333	1E-16
2172	0.325
2172.033333	1E-16
2176	0.325
2176.033333	1E-16
2180	0.325
2180.033333	1E-16
2184	0.325
2184.033333	1E-16
2188	0.325
2188.033333	1E-16
2192	0.325
2192.033333	1E-16
2196	0.325
2196.033333	1E-16
2200	0.325
2200.033333	1E-16
2204	0.325
2204.033333	1E-16
2208	0.325
2208.033333	1E-16
2212	0.325
2212.033333	1E-16
2216	0.325
2216.033333	1E-16
2220	0.325
2220.033333	1E-16
2224	0.325
2224.033333	1E-16
2228	0.325
2228.033333	1E-16
2232	0.3282
2232.033333	1E-16
2236	0.3282
2236.033333	1E-16
2240	0.3282
2240.033333	1E-16
2244	0.3282
2244.033333	1E-16
2248	0.3282
2248.033333	1E-16
2252	0.3282
2252.033333	1E-16
2256	0.3123
2256.033333	1E-16
2260	0.3123
2260.033333	1E-16
2264	0.3123
2264.033333	1E-16
2268	0.3123
2268.033333	1E-16
2272	0.3123
2272.033333	1E-16
2276	0.3123
2276.033333	1E-16
2280	0.3123
2280.033333	1E-16
2284	0.3123
2284.033333	1E-16
2288	0.3123
2288.033333	1E-16
2292	0.3123
2292.033333	1E-16
2296	0.3123
2296.033333	1E-16
2300	0.3123
2300.033333	1E-16
2304	0.3123
2304.033333	1E-16
2308	0.3123
2308.033333	1E-16
2312	0.3123
2312.033333	1E-16
2316	0.3123
2316.033333	1E-16
2320	0.3123
2320.033333	1E-16
2324	0.3123
2324.033333	1E-16
2328	0.3123
2328.033333	1E-16
2332	0.3123
2332.033333	1E-16
2336	0.3123
2336.033333	1E-16
2340	0.3123
2340.033333	1E-16
2344	0.3123
2344.033333	1E-16
2348	0.3123
2348.033333	1E-16
2352	0.3123



