#1	
float Input_Q_Feed2_ADM1(1117,2)	
0	1E-16
0.033333333	1E-16
4	1E-16
4.033333333	1E-16
8	1E-16
8.033333333	1E-16
12	1E-16
12.03333333	1E-16
16	1E-16
16.03333333	1E-16
20	1E-16
20.03333333	1E-16
24	1E-16
24.03333333	1E-16
28	1E-16
28.03333333	1E-16
32	1E-16
32.03333333	1E-16
36	1E-16
36.03333333	1E-16
40	1E-16
40.03333333	1E-16
44	1E-16
44.03333333	1E-16
48	1E-16
48.03333333	1E-16
52	1E-16
52.03333333	1E-16
56	1E-16
56.03333333	1E-16
60	1E-16
60.03333333	1E-16
64	1E-16
64.03333333	1E-16
68	1E-16
68.03333333	1E-16
72	1E-16
72.03333333	1E-16
76	1E-16
76.03333333	1E-16
80	1E-16
80.03333333	1E-16
84	1E-16
84.03333333	1E-16
88	1E-16
88.03333333	1E-16
92	1E-16
92.03333333	1E-16
96	1E-16
96.03333333	1E-16
100	1E-16
100.0333333	1E-16
104	1E-16
104.0333333	1E-16
108	1E-16
108.0333333	1E-16
112	1E-16
112.0333333	1E-16
116	1E-16
116.0333333	1E-16
120	1E-16
120.0333333	1E-16
124	1E-16
124.0333333	1E-16
128	1E-16
128.0333333	1E-16
132	1E-16
132.0333333	1E-16
136	1E-16
136.0333333	1E-16
140	1E-16
140.0333333	1E-16
144	1E-16
144.0333333	1E-16
148	1E-16
148.0333333	1E-16
152	1E-16
152.0333333	1E-16
156	1E-16
156.0333333	1E-16
160	1E-16
160.0333333	1E-16
164	1E-16
164.0333333	1E-16
168	1E-16
168.0333333	1E-16
172	1E-16
172.0333333	1E-16
176	1E-16
176.0333333	1E-16
180	1E-16
180.0333333	1E-16
184	1E-16
184.0333333	1E-16
188	1E-16
188.0333333	1E-16
192	1E-16
192.0333333	1E-16
196	1E-16
196.0333333	1E-16
200	1E-16
200.0333333	1E-16
204	1E-16
204.0333333	1E-16
208	1E-16
208.0333333	1E-16
212	1E-16
212.0333333	1E-16
216	1E-16
216.0333333	1E-16
220	1E-16
220.0333333	1E-16
224	1E-16
224.0333333	1E-16
228	1E-16
228.0333333	1E-16
232	1E-16
232.0333333	1E-16
236	1E-16
236.0333333	1E-16
240	1E-16
240.0333333	1E-16
244	1E-16
244.0333333	1E-16
248	1E-16
248.0333333	1E-16
252	1E-16
252.0333333	1E-16
256	1E-16
256.0333333	1E-16
260	1E-16
260.0333333	1E-16
264	1E-16
264.0333333	1E-16
268	1E-16
268.0333333	1E-16
272	1E-16
272.0333333	1E-16
276	1E-16
276.0333333	1E-16
280	1E-16
280.0333333	1E-16
284	1E-16
284.0333333	1E-16
288	1E-16
288.0333333	1E-16
292	1E-16
292.0333333	1E-16
296	1E-16
296.0333333	1E-16
300	1E-16
300.0333333	1E-16
304	1E-16
304.0333333	1E-16
308	1E-16
308.0333333	1E-16
312	1E-16
312.0333333	1E-16
316	1E-16
316.0333333	1E-16
320	1E-16
320.0333333	1E-16
324	1E-16
324.0333333	1E-16
328	1E-16
328.0333333	1E-16
332	1E-16
332.0333333	1E-16
336	1E-16
336.0333333	1E-16
340	1E-16
340.0333333	1E-16
344	1E-16
344.0333333	1E-16
348	1E-16
348.0333333	1E-16
352	1E-16
352.0333333	1E-16
356	1E-16
356.0333333	1E-16
360	1E-16
360.0333333	1E-16
364	1E-16
364.0333333	1E-16
368	1E-16
368.0333333	1E-16
372	1E-16
372.0333333	1E-16
376	1E-16
376.0333333	1E-16
380	1E-16
380.0333333	1E-16
384	1E-16
384.0333333	1E-16
388	1E-16
388.0333333	1E-16
392	1E-16
392.0333333	1E-16
396	1E-16
396.0333333	1E-16
400	1E-16
400.0333333	1E-16
404	1E-16
404.0333333	1E-16
408	1E-16
408.0333333	1E-16
412	1E-16
412.0333333	1E-16
416	1E-16
416.0333333	1E-16
420	1E-16
420.0333333	1E-16
424	1E-16
424.0333333	1E-16
428	1E-16
428.0333333	1E-16
432	1E-16
432.0333333	1E-16
436	1E-16
436.0333333	1E-16
440	1E-16
440.0333333	1E-16
444	1E-16
444.0333333	1E-16
448	1E-16
448.0333333	1E-16
452	1E-16
452.0333333	1E-16
456	1E-16
456.0333333	1E-16
460	1E-16
460.0333333	1E-16
464	1E-16
464.0333333	1E-16
468	1E-16
468.0333333	1E-16
472	1E-16
472.0333333	1E-16
476	1E-16
476.0333333	1E-16
480	1E-16
480.0333333	1E-16
484	1E-16
484.0333333	1E-16
488	1E-16
488.0333333	1E-16
492	1E-16
492.0333333	1E-16
496	1E-16
496.0333333	1E-16
500	1E-16
500.0333333	1E-16
504	1E-16
504.0333333	1E-16
508	1E-16
508.0333333	1E-16
512	1E-16
512.0333333	1E-16
516	1E-16
516.0333333	1E-16
520	1E-16
520.0333333	1E-16
524	1E-16
524.0333333	1E-16
528	1E-16
528.0333333	1E-16
532	1E-16
532.0333333	1E-16
536	1E-16
536.0333333	1E-16
540	1E-16
540.0333333	1E-16
544	1E-16
544.0333333	1E-16
548	1E-16
548.0333333	1E-16
552	1E-16
552.0333333	1E-16
556	1E-16
556.0333333	1E-16
560	1E-16
560.0333333	1E-16
564	1E-16
564.0333333	1E-16
568	1E-16
568.0333333	1E-16
572	1E-16
572.0333333	1E-16
576	1E-16
576.0333333	1E-16
580	1E-16
580.0333333	1E-16
584	1E-16
584.0333333	1E-16
588	1E-16
588.0333333	1E-16
592	1E-16
592.0333333	1E-16
596	1E-16
596.0333333	1E-16
600	1E-16
600.0333333	1E-16
604	1E-16
604.0333333	1E-16
608	1E-16
608.0333333	1E-16
612	1E-16
612.0333333	1E-16
616	1E-16
616.0333333	1E-16
620	1E-16
620.0333333	1E-16
624	1E-16
624.0333333	1E-16
628	1E-16
628.0333333	1E-16
632	1E-16
632.0333333	1E-16
636	1E-16
636.0333333	1E-16
640	1E-16
640.0333333	1E-16
644	1E-16
644.0333333	1E-16
648	1E-16
648.0333333	1E-16
652	1E-16
652.0333333	1E-16
656	1E-16
656.0333333	1E-16
660	1E-16
660.0333333	1E-16
664	1E-16
664.0333333	1E-16
668	1E-16
668.0333333	1E-16
672	1E-16
672.0333333	1E-16
676	1E-16
676.0333333	1E-16
680	1E-16
680.0333333	1E-16
684	1E-16
684.0333333	1E-16
688	1E-16
688.0333333	1E-16
692	1E-16
692.0333333	1E-16
696	1E-16
696.0333333	1E-16
700	1E-16
700.0333333	1E-16
704	1E-16
704.0333333	1E-16
708	1E-16
708.0333333	1E-16
712	1E-16
712.0333333	1E-16
716	1E-16
716.0333333	1E-16
720	1E-16
720.0333333	1E-16
724	1E-16
724.0333333	1E-16
728	1E-16
728.0333333	1E-16
732	1E-16
732.0333333	1E-16
736	1E-16
736.0333333	1E-16
740	1E-16
740.0333333	1E-16
744	1E-16
744.0333333	1E-16
748	1E-16
748.0333333	1E-16
752	1E-16
752.0333333	1E-16
756	1E-16
756.0333333	1E-16
760	1E-16
760.0333333	1E-16
764	1E-16
764.0333333	1E-16
768	1E-16
768.0333333	1E-16
772	1E-16
772.0333333	1E-16
776	1E-16
776.0333333	1E-16
780	1E-16
780.0333333	1E-16
784	1E-16
784.0333333	1E-16
788	1E-16
788.0333333	1E-16
792	1E-16
792.0333333	1E-16
796	1E-16
796.0333333	1E-16
800	1E-16
800.0333333	1E-16
804	1E-16
804.0333333	1E-16
808	1E-16
808.0333333	1E-16
812	1E-16
812.0333333	1E-16
816	1E-16
816.0333333	1E-16
820	1E-16
820.0333333	1E-16
824	1E-16
824.0333333	1E-16
828	1E-16
828.0333333	1E-16
832	1E-16
832.0333333	1E-16
836	1E-16
836.0333333	1E-16
840	1E-16
840.0333333	1E-16
844	1E-16
844.0333333	1E-16
848	1E-16
848.0333333	1E-16
852	1E-16
852.0333333	1E-16
856	1E-16
856.0333333	1E-16
860	1E-16
860.0333333	1E-16
864	1E-16
864.0333333	1E-16
868	1E-16
868.0333333	1E-16
872	1E-16
872.0333333	1E-16
876	1E-16
876.0333333	1E-16
880	1E-16
880.0333333	1E-16
884	1E-16
884.0333333	1E-16
888	1E-16
888.0333333	1E-16
892	1E-16
892.0333333	1E-16
896	1E-16
896.0333333	1E-16
900	1E-16
900.0333333	1E-16
904	1E-16
904.0333333	1E-16
908	1E-16
908.0333333	1E-16
912	1E-16
912.0333333	1E-16
916	1E-16
916.0333333	1E-16
920	1E-16
920.0333333	1E-16
924	1E-16
924.0333333	1E-16
928	1E-16
928.0333333	1E-16
932	1E-16
932.0333333	1E-16
936	1E-16
936.0333333	1E-16
940	1E-16
940.0333333	1E-16
944	1E-16
944.0333333	1E-16
948	1E-16
948.0333333	1E-16
952	1E-16
952.0333333	1E-16
956	1E-16
956.0333333	1E-16
960	1E-16
960.0333333	1E-16
964	1E-16
964.0333333	1E-16
968	1E-16
968.0333333	1E-16
972	1E-16
972.0333333	1E-16
976	1E-16
976.0333333	1E-16
980	1E-16
980.0333333	1E-16
984	1E-16
984.0333333	1E-16
988	1E-16
988.0333333	1E-16
992	1E-16
992.0333333	1E-16
996	1E-16
996.0333333	1E-16
1000	1E-16
1000.033333	1E-16
1004	1E-16
1004.033333	1E-16
1008	1E-16
1008.033333	1E-16
1012	1E-16
1012.033333	1E-16
1016	1E-16
1016.033333	1E-16
1020	1E-16
1020.033333	1E-16
1024	1E-16
1024.033333	1E-16
1028	1E-16
1028.033333	1E-16
1032	1E-16
1032.033333	1E-16
1036	1E-16
1036.033333	1E-16
1040	1E-16
1040.033333	1E-16
1044	1E-16
1044.033333	1E-16
1048	1E-16
1048.033333	1E-16
1052	1E-16
1052.033333	1E-16
1056	1E-16
1056.033333	1E-16
1060	1E-16
1060.033333	1E-16
1064	1E-16
1064.033333	1E-16
1068	1E-16
1068.033333	1E-16
1072	1E-16
1072.033333	1E-16
1076	1E-16
1076.033333	1E-16
1080	1E-16
1080.033333	1E-16
1084	1E-16
1084.033333	1E-16
1088	1E-16
1088.033333	1E-16
1092	1E-16
1092.033333	1E-16
1096	1E-16
1096.033333	1E-16
1100	1E-16
1100.033333	1E-16
1104	1E-16
1104.033333	1E-16
1108	1E-16
1108.033333	1E-16
1112	1E-16
1112.033333	1E-16
1116	1E-16
1116.033333	1E-16
1120	1E-16
1120.033333	1E-16
1124	1E-16
1124.033333	1E-16
1128	1E-16
1128.033333	1E-16
1132	1E-16
1132.033333	1E-16
1136	1E-16
1136.033333	1E-16
1140	1E-16
1140.033333	1E-16
1144	1E-16
1144.033333	1E-16
1148	1E-16
1148.033333	1E-16
1152	1E-16
1152.033333	1E-16
1160	1E-16
1160.033333	1E-16
1168	1E-16
1168.033333	1E-16
1176	1E-16
1176.033333	1E-16
1184	1E-16
1184.033333	1E-16
1192	1E-16
1192.033333	1E-16
1200	1E-16
1200.033333	1E-16
1208	1E-16
1208.033333	1E-16
1216	1E-16
1216.033333	1E-16
1224	1E-16
1224.033333	1E-16
1232	1E-16
1232.033333	1E-16
1240	1E-16
1240.033333	1E-16
1248	1E-16
1248.033333	1E-16
1256	1E-16
1256.033333	1E-16
1264	1E-16
1264.033333	1E-16
1272	1E-16
1272.033333	1E-16
1280	1E-16
1280.033333	1E-16
1288	1E-16
1288.033333	1E-16
1296	1E-16
1296.033333	1E-16
1304	1E-16
1304.033333	1E-16
1312	1E-16
1312.033333	1E-16
1320	1E-16
1320.033333	1E-16
1328	1E-16
1328.033333	1E-16
1336	1E-16
1336.033333	1E-16
1344	1E-16
1344.033333	1E-16
1352	1E-16
1352.033333	1E-16
1360	1E-16
1360.033333	1E-16
1368	1E-16
1368.033333	1E-16
1376	1E-16
1376.033333	1E-16
1384	1E-16
1384.033333	1E-16
1392	1E-16
1392.033333	1E-16
1396	1E-16
1396.033333	1E-16
1400	1E-16
1400.033333	1E-16
1404	1E-16
1404.033333	1E-16
1408	1E-16
1408.033333	1E-16
1412	1E-16
1412.033333	1E-16
1416	1E-16
1416.033333	1E-16
1420	1E-16
1420.033333	1E-16
1424	1E-16
1424.033333	1E-16
1428	1E-16
1428.033333	1E-16
1432	1E-16
1432.033333	1E-16
1436	1E-16
1436.033333	1E-16
1440	1E-16
1440.033333	1E-16
1444	1E-16
1444.033333	1E-16
1448	1E-16
1448.033333	1E-16
1452	1E-16
1452.033333	1E-16
1456	1E-16
1456.033333	1E-16
1460	1E-16
1460.033333	1E-16
1464	1E-16
1464.033333	1E-16
1468	1E-16
1468.033333	1E-16
1472	1E-16
1472.033333	1E-16
1476	1E-16
1476.033333	1E-16
1480	1E-16
1480.033333	1E-16
1484	1E-16
1484.033333	1E-16
1488	1E-16
1488.033333	1E-16
1492	1E-16
1492.033333	1E-16
1496	1E-16
1496.033333	1E-16
1500	1E-16
1500.033333	1E-16
1504	1E-16
1504.033333	1E-16
1508	1E-16
1508.033333	1E-16
1512	1E-16
1512.033333	1E-16
1516	1E-16
1516.033333	1E-16
1520	1E-16
1520.033333	1E-16
1524	1E-16
1524.033333	1E-16
1528	1E-16
1528.033333	1E-16
1532	1E-16
1532.033333	1E-16
1536	1E-16
1536.033333	1E-16
1540	1E-16
1540.033333	1E-16
1544	1E-16
1544.033333	1E-16
1548	1E-16
1548.033333	1E-16
1552	1E-16
1552.033333	1E-16
1556	1E-16
1556.033333	1E-16
1560	1E-16
1560.033333	1E-16
1564	1E-16
1564.033333	1E-16
1568	1E-16
1568.033333	1E-16
1572	1E-16
1572.033333	1E-16
1576	1E-16
1576.033333	1E-16
1580	1E-16
1580.033333	1E-16
1584	1E-16
1584.033333	1E-16
1588	1E-16
1588.033333	1E-16
1592	1E-16
1592.033333	1E-16
1596	1E-16
1596.033333	1E-16
1600	1E-16
1600.033333	1E-16
1604	1E-16
1604.033333	1E-16
1608	1E-16
1608.033333	1E-16
1612	1E-16
