#1
float Input_CattleSlurry(12,27)
0	66.6	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
9	56.6	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
21	54.9	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
47	68.9	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
55	47	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
87	54.7	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
101	51	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
113	44	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
123	77	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
135	76.9	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
163	92.6	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
2000	92.6	78.3	7.21	12741	1172	650	0.007	0.013	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	25	100	35	35
