#1
float Input_CattleSlurry(12,27)
0	66.6	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
9	56.6	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
21	54.9	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
47	68.9	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
55	47	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
87	54.7	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
101	51	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
113	44	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
123	77	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
135	76.9	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
163	92.6	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
2000	92.6	78.3	7.68	12741	1172	300	0.028	0.02	3.27313	2.00981	0.5551	0.49776	0	0	0	174	14.71026863	4.613279511	15.84182776	9.661774071	12.96940844	11.7508063	50	50	10	28
