#1
float Setpoints(3024,3)
0 0.33186000 0.83584000
1 0.33186000 0.83584000
2 0.33186000 0.83584000
3 0.33186000 0.83584000
4 0.33186000 0.83584000
5 0.33186000 0.83584000
6 0.33186000 0.83584000
7 0.33186000 0.83584000
8 0.33186000 0.83584000
9 0.33186000 0.83584000
10 0.33186000 0.83584000
11 0.33186000 0.83584000
12 0.33186000 0.83584000
13 0.33186000 0.83584000
14 0.33186000 0.83584000
15 0.33186000 0.83584000
16 0.33186000 0.83584000
17 0.33186000 0.83584000
18 0.33186000 0.83584000
19 0.33186000 0.83584000
20 0.33186000 0.83584000
21 0.33186000 0.83584000
22 0.33186000 0.83584000
23 0.33186000 0.83584000
24 0.33186000 0.83584000
25 0.33186000 0.83584000
26 0.33186000 0.83584000
27 0.33186000 0.83584000
28 0.33186000 0.83584000
29 0.33186000 0.83584000
30 0.33186000 0.83584000
31 0.33186000 0.83584000
32 0.33186000 0.83584000
33 0.33186000 0.83584000
34 0.33186000 0.83584000
35 0.33186000 0.83584000
36 0.33186000 0.83584000
37 0.33186000 0.83584000
38 0.33186000 0.83584000
39 0.33186000 0.83584000
40 0.33186000 0.83584000
41 0.33186000 0.83584000
42 0.33186000 0.83584000
43 0.33186000 0.83584000
44 0.33186000 0.83584000
45 0.33186000 0.83584000
46 0.33186000 0.83584000
47 0.33186000 0.83584000
48 0.33186000 0.83584000
49 0.33186000 0.83584000
50 0.33186000 0.83584000
51 0.33186000 0.83584000
52 0.33186000 0.83584000
53 0.33186000 0.83584000
54 0.33186000 0.83584000
55 0.33186000 0.83584000
56 0.33186000 0.83584000
57 0.33186000 0.83584000
58 0.33186000 0.83584000
59 0.33186000 0.83584000
60 0.33186000 0.83584000
61 0.33186000 0.83584000
62 0.33186000 0.83584000
63 0.33186000 0.83584000
64 0.33186000 0.83584000
65 0.33186000 0.83584000
66 0.33186000 0.83584000
67 0.33186000 0.83584000
68 0.33186000 0.83584000
69 0.33186000 0.83584000
70 0.33186000 0.83584000
71 0.33186000 0.83584000
72 0.33186000 0.83584000
73 0.33186000 0.83584000
74 0.33186000 0.83584000
75 0.33186000 0.83584000
76 0.33186000 0.83584000
77 0.33186000 0.83584000
78 0.33186000 0.83584000
79 0.33186000 0.83584000
80 0.33186000 0.83584000
81 0.33186000 0.83584000
82 0.33186000 0.83584000
83 0.33186000 0.83584000
84 0.33186000 0.83584000
85 0.33186000 0.83584000
86 0.33186000 0.83584000
87 0.33186000 0.83584000
88 0.33186000 0.83584000
89 0.33186000 0.83584000
90 0.33186000 0.83584000
91 0.33186000 0.83584000
92 0.33186000 0.83584000
93 0.33186000 0.83584000
94 0.33186000 0.83584000
95 0.33186000 0.83584000
96 0.33186000 0.83584000
97 0.33186000 0.83584000
98 0.33186000 0.83584000
99 0.33186000 0.83584000
100 0.33186000 0.83584000
101 0.33186000 0.83584000
102 0.33186000 0.83584000
103 0.33186000 0.83584000
104 0.33186000 0.83584000
105 0.33186000 0.83584000
106 0.33186000 0.83584000
107 0.33186000 0.83584000
108 0.33186000 0.83584000
109 0.33186000 0.83584000
110 0.33186000 0.83584000
111 0.33186000 0.83584000
112 0.33186000 0.83584000
113 0.33186000 0.83584000
114 0.33186000 0.83584000
115 0.33186000 0.83584000
116 0.33186000 0.83584000
117 0.33186000 0.83584000
118 0.33186000 0.83584000
119 0.33186000 0.83584000
120 0.33186000 0.83584000
121 0.33186000 0.83584000
122 0.33186000 0.83584000
123 0.33186000 0.83584000
124 0.33186000 0.83584000
125 0.33186000 0.83584000
126 0.33186000 0.83584000
127 0.33186000 0.83584000
128 0.33186000 0.83584000
129 0.33186000 0.83584000
130 0.33186000 0.83584000
131 0.33186000 0.83584000
132 0.33186000 0.83584000
133 0.33186000 0.83584000
134 0.33186000 0.83584000
135 0.33186000 0.83584000
136 0.33186000 0.83584000
137 0.33186000 0.83584000
138 0.33186000 0.83584000
139 0.33186000 0.83584000
140 0.33186000 0.83584000
141 0.33186000 0.83584000
142 0.33186000 0.83584000
143 0.33186000 0.83584000
144 0.33186000 0.83584000
145 0.33186000 0.83584000
146 0.33186000 0.83584000
147 0.33186000 0.83584000
148 0.33186000 0.83584000
149 0.33186000 0.83584000
150 0.33186000 0.83584000
151 0.33186000 0.83584000
152 0.33186000 0.83584000
153 0.33186000 0.83584000
154 0.33186000 0.83584000
155 0.33186000 0.83584000
156 0.33186000 0.83584000
157 0.33186000 0.83584000
158 0.33186000 0.83584000
159 0.33186000 0.83584000
160 0.33186000 0.83584000
161 0.33186000 0.83584000
162 0.33186000 0.83584000
163 0.33186000 0.83584000
164 0.33186000 0.83584000
165 0.33186000 0.83584000
166 0.33186000 0.83584000
167 0.33186000 0.83584000
168 0.33186000 0.83584000
169 0.33186000 0.83584000
170 0.33186000 0.83584000
171 0.33186000 0.83584000
172 0.33186000 0.83584000
173 0.33186000 0.83584000
174 0.33186000 0.83584000
175 0.33186000 0.83584000
176 0.33186000 0.83584000
177 0.33186000 0.83584000
178 0.33186000 0.83584000
179 0.33186000 0.83584000
180 0.33186000 0.83584000
181 0.33186000 0.83584000
182 0.33186000 0.83584000
183 0.33186000 0.83584000
184 0.33186000 0.83584000
185 0.33186000 0.83584000
186 0.33186000 0.83584000
187 0.33186000 0.83584000
188 0.33186000 0.83584000
189 0.33186000 0.83584000
190 0.33186000 0.83584000
191 0.33186000 0.83584000
192 0.33186000 0.83584000
193 0.33186000 0.83584000
194 0.33186000 0.83584000
195 0.33186000 0.83584000
196 0.33186000 0.83584000
197 0.33186000 0.83584000
198 0.33186000 0.83584000
199 0.33186000 0.83584000
200 0.33186000 0.83584000
201 0.33186000 0.83584000
202 0.33186000 0.83584000
203 0.33186000 0.83584000
204 0.33186000 0.83584000
205 0.33186000 0.83584000
206 0.33186000 0.83584000
207 0.33186000 0.83584000
208 0.33186000 0.83584000
209 0.33186000 0.83584000
210 0.33186000 0.83584000
211 0.33186000 0.83584000
212 0.33186000 0.83584000
213 0.33186000 0.83584000
214 0.33186000 0.83584000
215 0.33186000 0.83584000
216 0.33186000 0.83584000
217 0.33186000 0.83584000
218 0.33186000 0.83584000
219 0.33186000 0.83584000
220 0.33186000 0.83584000
221 0.33186000 0.83584000
222 0.33186000 0.83584000
223 0.33186000 0.83584000
224 0.33186000 0.83584000
225 0.33186000 0.83584000
226 0.33186000 0.83584000
227 0.33186000 0.83584000
228 0.33186000 0.83584000
229 0.33186000 0.83584000
230 0.33186000 0.83584000
231 0.33186000 0.83584000
232 0.33186000 0.83584000
233 0.33186000 0.83584000
234 0.33186000 0.83584000
235 0.33186000 0.83584000
236 0.33186000 0.83584000
237 0.33186000 0.83584000
238 0.33186000 0.83584000
239 0.33186000 0.83584000
240 0.33186000 0.83584000
241 0.33186000 0.83584000
242 0.33186000 0.83584000
243 0.33186000 0.83584000
244 0.33186000 0.83584000
245 0.33186000 0.83584000
246 0.33186000 0.83584000
247 0.33186000 0.83584000
248 0.33186000 0.83584000
249 0.33186000 0.83584000
250 0.33186000 0.83584000
251 0.33186000 0.83584000
252 0.33186000 0.83584000
253 0.33186000 0.83584000
254 0.33186000 0.83584000
255 0.33186000 0.83584000
256 0.33186000 0.83584000
257 0.33186000 0.83584000
258 0.33186000 0.83584000
259 0.33186000 0.83584000
260 0.33186000 0.83584000
261 0.33186000 0.83584000
262 0.33186000 0.83584000
263 0.33186000 0.83584000
264 0.33186000 0.83584000
265 0.33186000 0.83584000
266 0.33186000 0.83584000
267 0.33186000 0.83584000
268 0.33186000 0.83584000
269 0.33186000 0.83584000
270 0.33186000 0.83584000
271 0.33186000 0.83584000
272 0.33186000 0.83584000
273 0.33186000 0.83584000
274 0.33186000 0.83584000
275 0.33186000 0.83584000
276 0.33186000 0.83584000
